Complexity,Loss,Equation
1,2.7540116,"1.3222688"
2,2.5748565,"exp(y)"
3,1.3451302,"x * x"
5,0.000100270765,"y + (x * x)"
7,0.000100167956,"(y * 1.0002744) + (x * x)"
9,9.991747e-5,"(x * x) + ((1.8885057e-5 / x) + y)"
11,9.981287e-5,"((1.8903054e-5 / x) + (y * 1.0002843)) + (x * x)"
13,9.9812794e-5,"(x * x) + (y + ((1.8885057e-5 / x) + (y * 0.00027820026)))"
14,9.9725185e-5,"((x * x) + (y + (1.8826071e-5 / x))) + (exp(y) * 0.00016895235)"
15,9.9656056e-5,"(y + (2.9695406e-5 / (x + (exp(exp(y)) * 7.98322e-5)))) + (x * x)"
